1,'AM General Hummer SUV 2000',SUV
2,'Acura RL Sedan 2012',SEDAN
3,'Acura TL Sedan 2012',SEDAN
4,'Acura TL Type-S 2008',SEDAN
5,'Acura TSX Sedan 2012',SEDAN
6,'Acura Integra Type R 2001',COUPE
7,'Acura ZDX Hatchback 2012',HATCHBACK
8,'Aston Martin V8 Vantage Convertible 2012',CONVERTIBLE
9,'Aston Martin V8 Vantage Coupe 2012',COUPE
10,'Aston Martin Virage Convertible 2012',CONVERTIBLE
11,'Aston Martin Virage Coupe 2012',COUPE
12,'Audi RS 4 Convertible 2008',CONVERTIBLE
13,'Audi A5 Coupe 2012',COUPE
14,'Audi TTS Coupe 2012',COUPE
15,'Audi R8 Coupe 2012',COUPE
16,'Audi V8 Sedan 1994',SEDAN
17,'Audi 100 Sedan 1994',SEDAN
18,'Audi 100 Wagon 1994',WAGON
19,'Audi TT Hatchback 2011',HATCHBACK
20,'Audi S6 Sedan 2011',SEDAN
21,'Audi S5 Convertible 2012',CONVERTIBLE
22,'Audi S5 Coupe 2012',COUPE
23,'Audi S4 Sedan 2012',SEDAN
24,'Audi S4 Sedan 2007',SEDAN
25,'Audi TT RS Coupe 2012',COUPE
26,'BMW ActiveHybrid 5 Sedan 2012',SEDAN
27,'BMW 1 Series Convertible 2012',CONVERTIBLE
28,'BMW 1 Series Coupe 2012',COUPE
29,'BMW 3 Series Sedan 2012',SEDAN
30,'BMW 3 Series Wagon 2012',WAGON
31,'BMW 6 Series Convertible 2007',CONVERTIBLE
32,'BMW X5 SUV 2007',SUV
33,'BMW X6 SUV 2012',SUV
34,'BMW M3 Coupe 2012',COUPE
35,'BMW M5 Sedan 2010',SEDAN
36,'BMW M6 Convertible 2010',CONVERTIBLE
37,'BMW X3 SUV 2012',SUV
38,'BMW Z4 Convertible 2012',CONVERTIBLE
39,'Bentley Continental Supersports Conv. Convertible 2012',CONVERTIBLE
40,'Bentley Arnage Sedan 2009',SEDAN
41,'Bentley Mulsanne Sedan 2011',SEDAN
42,'Bentley Continental GT Coupe 2012',COUPE
43,'Bentley Continental GT Coupe 2007',COUPE
44,'Bentley Continental Flying Spur Sedan 2007',SEDAN
45,'Bugatti Veyron 16.4 Convertible 2009',CONVERTIBLE
46,'Bugatti Veyron 16.4 Coupe 2009',COUPE
47,'Buick Regal GS 2012',SEDAN
48,'Buick Rainier SUV 2007',SUV
49,'Buick Verano Sedan 2012',SEDAN
50,'Buick Enclave SUV 2012',SUV
51,'Cadillac CTS-V Sedan 2012',SEDAN
52,'Cadillac SRX SUV 2012',SUV
53,'Cadillac Escalade EXT Crew Cab 2007',TRUCK
54,'Chevrolet Silverado 1500 Hybrid Crew Cab 2012',TRUCK
55,'Chevrolet Corvette Convertible 2012',CONVERTIBLE
56,'Chevrolet Corvette ZR1 2012',COUPE
57,'Chevrolet Corvette Ron Fellows Edition Z06 2007',COUPE
58,'Chevrolet Traverse SUV 2012',SUV
59,'Chevrolet Camaro Convertible 2012',CONVERTIBLE
60,'Chevrolet HHR SS 2010',SUV
61,'Chevrolet Impala Sedan 2007',SEDAN
62,'Chevrolet Tahoe Hybrid SUV 2012',SUV
63,'Chevrolet Sonic Sedan 2012',SEDAN
64,'Chevrolet Express Cargo Van 2007',VAN
65,'Chevrolet Avalanche Crew Cab 2012',TRUCK
66,'Chevrolet Cobalt SS 2010',COUPE
67,'Chevrolet Malibu Hybrid Sedan 2010',SEDAN
68,'Chevrolet TrailBlazer SS 2009',SUV
69,'Chevrolet Silverado 2500HD Regular Cab 2012',TRUCK
70,'Chevrolet Silverado 1500 Classic Extended Cab 2007',TRUCK
71,'Chevrolet Express Van 2007',VAN
72,'Chevrolet Monte Carlo Coupe 2007',COUPE
73,'Chevrolet Malibu Sedan 2007',SEDAN
74,'Chevrolet Silverado 1500 Extended Cab 2012',TRUCK
75,'Chevrolet Silverado 1500 Regular Cab 2012',TRUCK
76,'Chrysler Aspen SUV 2009',SUV
77,'Chrysler Sebring Convertible 2010',CONVERTIBLE
78,'Chrysler Town and Country Minivan 2012',MINIVAN
79,'Chrysler 300 SRT-8 2010',SEDAN
80,'Chrysler Crossfire Convertible 2008',CONVERTIBLE
81,'Chrysler PT Cruiser Convertible 2008',CONVERTIBLE
82,'Daewoo Nubira Wagon 2002',WAGON
83,'Dodge Caliber Wagon 2012',WAGON
84,'Dodge Caliber Wagon 2007',WAGON
85,'Dodge Caravan Minivan 1997',MINIVAN
86,'Dodge Ram Pickup 3500 Crew Cab 2010',TRUCK
87,'Dodge Ram Pickup 3500 Quad Cab 2009',TRUCK
88,'Dodge Sprinter Cargo Van 2009',VAN
89,'Dodge Journey SUV 2012',SUV
90,'Dodge Dakota Crew Cab 2010',TRUCK
91,'Dodge Dakota Club Cab 2007',TRUCK
92,'Dodge Magnum Wagon 2008',WAGON
93,'Dodge Challenger SRT8 2011',COUPE
94,'Dodge Durango SUV 2012',SUV
95,'Dodge Durango SUV 2007',SUV
96,'Dodge Charger Sedan 2012',SEDAN
97,'Dodge Charger SRT-8 2009',SEDAN
98,'Eagle Talon Hatchback 1998',HATCHBACK
99,'FIAT 500 Abarth 2012',COUPE
100,'FIAT 500 Convertible 2012',CONVERTIBLE
101,'Ferrari FF Coupe 2012',COUPE
102,'Ferrari California Convertible 2012',CONVERTIBLE
103,'Ferrari 458 Italia Convertible 2012',CONVERTIBLE
104,'Ferrari 458 Italia Coupe 2012',COUPE
105,'Fisker Karma Sedan 2012',SEDAN
106,'Ford F-450 Super Duty Crew Cab 2012',TRUCK
107,'Ford Mustang Convertible 2007',CONVERTIBLE
108,'Ford Freestar Minivan 2007',MINIVAN
109,'Ford Expedition EL SUV 2009',SUV
110,'Ford Edge SUV 2012',SUV
111,'Ford Ranger SuperCab 2011',TRUCK
112,'Ford GT Coupe 2006',COUPE
113,'Ford F-150 Regular Cab 2012',TRUCK
114,'Ford F-150 Regular Cab 2007',TRUCK
115,'Ford Focus Sedan 2007',SEDAN
116,'Ford E-Series Wagon Van 2012',VAN
117,'Ford Fiesta Sedan 2012',SEDAN
118,'GMC Terrain SUV 2012',SUV
119,'GMC Savana Van 2012',VAN
120,'GMC Yukon Hybrid SUV 2012',SUV
121,'GMC Acadia SUV 2012',SUV
